rating,cardid,skill,score
1,1,Problem solving,10
1,1,Communication,7
1,1,Data Structure,8
2,1,Problem solving,9
2,1,Communication,3
2,1,Data Structure,7
3,1,Problem solving,1
3,1,Communication,6
3,1,Data Structure,3
4,1,Problem solving,2
4,1,Communication,7
4,1,Data Structure,5
5,1,Problem solving,7
5,1,Communication,8
5,1,Data Structure,5
6,1,Problem solving,6
6,1,Communication,4
6,1,Data Structure,7
7,1,Problem solving,5
7,1,Communication,6
7,1,Data Structure,7
8,2,Algorithm,6
8,2,Decision making,7
8,2,Adaptibility,8
8,2,Problem solving,6
9,2,Algorithm,5
9,2,Decision making,6
9,2,Adaptibility,5
9,2,Problem solving,4
10,2,Algorithm,3
10,2,Decision making,5
10,2,Adaptibility,6
10,2,Problem solving,7
11,2,Algorithm,8
11,2,Decision making,5
11,2,Adaptibility,7
11,2,Problem solving,8
12,2,Algorithm,9
12,2,Decision making,10
12,2,Adaptibility,2
12,2,Problem solving,3
13,1,Problem solving,10
13,1,Communication,7
13,1,Data Structure,8
14,1,Problem solving,9
14,1,Communication,3
14,1,Data Structure,4
15,1,Problem solving,1
15,1,Communication,6
15,1,Data Structure,3
16,1,Problem solving,10
16,1,Communication,7
16,1,Data Structure,8
17,1,Problem solving,9
17,1,Communication,7
17,1,Data Structure,4
18,1,Problem solving,1
18,1,Communication,6
18,1,Data Structure,3
